"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
2.3427e-05,0.00055309,0.00052967,384.11,900,10.889,0
2.3311e-05,0.00054859,0.00052528,385.05,900,10.915,0
2.3195e-05,0.00054408,0.00052089,385.98,900,10.942,0
2.3079e-05,0.00053958,0.0005165,386.92,900,10.968,0
2.2962e-05,0.00053508,0.00051212,387.85,900,10.995,0
2.2839e-05,0.00053068,0.00050784,388.78,900,11.021,0
2.2716e-05,0.00052628,0.00050357,389.72,900,11.048,0
2.2592e-05,0.00052188,0.00049929,390.65,900,11.074,0
2.2469e-05,0.00051748,0.00049501,391.59,900,11.101,0
2.2346e-05,0.00051308,0.00049073,392.52,900,11.127,0
2.2223e-05,0.00050868,0.00048646,393.45,900,11.153,0
2.2099e-05,0.00050428,0.00048218,394.39,900,11.18,0
2.1976e-05,0.00049989,0.00047792,395.32,900,11.206,0
2.185e-05,0.00049557,0.00047372,396.26,900,11.233,0
