"Dissipation","Production","Points:0","Points:1","Points:2"
-3.008e-05,3.974e-06,900,12.451,0
-2.9839e-05,3.8949e-06,900,12.478,0
-2.9598e-05,3.8158e-06,900,12.504,0
-2.9358e-05,3.7367e-06,900,12.531,0
-2.9109e-05,3.6646e-06,900,12.557,0
-2.886e-05,3.5936e-06,900,12.584,0
-2.8611e-05,3.5225e-06,900,12.61,0
-2.8362e-05,3.4515e-06,900,12.637,0
-2.8112e-05,3.3805e-06,900,12.663,0
-2.7863e-05,3.3094e-06,900,12.69,0
-2.7614e-05,3.2384e-06,900,12.716,0
-2.7364e-05,3.1673e-06,900,12.743,0
-2.7115e-05,3.0968e-06,900,12.769,0
-2.6865e-05,3.0348e-06,900,12.796,0
-2.6614e-05,2.9727e-06,900,12.822,0
-2.6364e-05,2.9107e-06,900,12.848,0
-2.6114e-05,2.8487e-06,900,12.875,0
-2.5863e-05,2.7867e-06,900,12.901,0
-2.5613e-05,2.7246e-06,900,12.928,0
-2.5363e-05,2.6626e-06,900,12.954,0
-2.5112e-05,2.6006e-06,900,12.981,0
-2.4863e-05,2.5395e-06,900,13.007,0
-2.4624e-05,2.4865e-06,900,13.034,0
-2.4384e-05,2.4335e-06,900,13.06,0
-2.4145e-05,2.3804e-06,900,13.087,0
-2.3905e-05,2.3274e-06,900,13.113,0
-2.3666e-05,2.2744e-06,900,13.14,0
-2.3426e-05,2.2214e-06,900,13.166,0
-2.3186e-05,2.1683e-06,900,13.193,0
-2.2947e-05,2.1153e-06,900,13.219,0
-2.2708e-05,2.0625e-06,900,13.246,0
-2.2473e-05,2.0167e-06,900,13.272,0
-2.2238e-05,1.971e-06,900,13.299,0
-2.2003e-05,1.9252e-06,900,13.325,0
-2.1768e-05,1.8795e-06,900,13.352,0
-2.1533e-05,1.8337e-06,900,13.378,0
-2.1298e-05,1.788e-06,900,13.405,0
-2.1063e-05,1.7422e-06,900,13.431,0
-2.0828e-05,1.6965e-06,900,13.458,0
-2.0594e-05,1.6507e-06,900,13.484,0
-2.0359e-05,1.6108e-06,900,13.511,0
-2.0125e-05,1.5721e-06,900,13.537,0
-1.989e-05,1.5333e-06,900,13.564,0
-1.9656e-05,1.4946e-06,900,13.59,0
-1.9422e-05,1.4559e-06,900,13.617,0
-1.9187e-05,1.4172e-06,900,13.643,0
-1.8953e-05,1.3785e-06,900,13.67,0
-1.8719e-05,1.3398e-06,900,13.696,0
-1.8484e-05,1.3011e-06,900,13.722,0
-1.826e-05,1.2663e-06,900,13.749,0
-1.8046e-05,1.2356e-06,900,13.775,0
-1.7833e-05,1.205e-06,900,13.802,0
-1.7619e-05,1.1744e-06,900,13.828,0
-1.7406e-05,1.1438e-06,900,13.855,0
-1.7192e-05,1.1132e-06,900,13.881,0
-1.6978e-05,1.0826e-06,900,13.908,0
-1.6765e-05,1.0519e-06,900,13.934,0
-1.6551e-05,1.0213e-06,900,13.961,0
-1.6338e-05,9.908e-07,900,13.987,0
-1.6153e-05,9.6701e-07,900,14.014,0
-1.5968e-05,9.4321e-07,900,14.04,0
-1.5783e-05,9.1942e-07,900,14.067,0
-1.5597e-05,8.9563e-07,900,14.093,0
-1.5412e-05,8.7184e-07,900,14.12,0
-1.5227e-05,8.4805e-07,900,14.146,0
-1.5042e-05,8.2425e-07,900,14.173,0
-1.4857e-05,8.0046e-07,900,14.199,0
-1.4671e-05,7.7667e-07,900,14.226,0
-1.449e-05,7.5478e-07,900,14.252,0
-1.4315e-05,7.3564e-07,900,14.279,0
-1.414e-05,7.1649e-07,900,14.305,0
-1.3965e-05,6.9735e-07,900,14.332,0
-1.3789e-05,6.782e-07,900,14.358,0
-1.3614e-05,6.5906e-07,900,14.385,0
-1.3439e-05,6.3991e-07,900,14.411,0
-1.3264e-05,6.2077e-07,900,14.438,0
-1.3089e-05,6.0162e-07,900,14.464,0
-1.2913e-05,5.8248e-07,900,14.491,0
-1.2738e-05,5.6575e-07,900,14.517,0
-1.2564e-05,5.5017e-07,900,14.543,0
-1.2389e-05,5.346e-07,900,14.57,0
-1.2214e-05,5.1902e-07,900,14.596,0
-1.2039e-05,5.0345e-07,900,14.623,0
-1.1865e-05,4.8787e-07,900,14.649,0
