"u_plus","y_plus","Points:0","Points:1","Points:2"
22.938,636.37,900,18.039,0
22.938,637.3,900,18.066,0
22.938,638.23,900,18.092,0
22.938,639.17,900,18.119,0
22.938,640.1,900,18.145,0
22.938,641.04,900,18.172,0
22.938,641.97,900,18.198,0
22.938,642.91,900,18.225,0
22.938,643.84,900,18.251,0
22.938,644.77,900,18.278,0
22.938,645.71,900,18.304,0
22.938,646.64,900,18.331,0
22.938,647.58,900,18.357,0
22.938,648.51,900,18.384,0
22.938,649.45,900,18.41,0
22.938,650.38,900,18.437,0
22.938,651.31,900,18.463,0
22.938,652.25,900,18.49,0
22.938,653.18,900,18.516,0
22.938,654.12,900,18.543,0
22.938,655.05,900,18.569,0
22.937,655.99,900,18.596,0
22.937,656.92,900,18.622,0
22.937,657.85,900,18.649,0
22.937,658.79,900,18.675,0
22.937,659.72,900,18.702,0
22.937,660.66,900,18.728,0
22.937,661.59,900,18.755,0
22.937,662.53,900,18.781,0
22.937,663.46,900,18.807,0
22.937,664.39,900,18.834,0
22.936,665.33,900,18.86,0
22.936,666.26,900,18.887,0
22.936,667.2,900,18.913,0
22.936,668.13,900,18.94,0
22.936,669.07,900,18.966,0
22.936,670,900,18.993,0
22.936,670.93,900,19.019,0
22.935,671.87,900,19.046,0
22.935,672.8,900,19.072,0
22.935,673.74,900,19.099,0
22.935,674.67,900,19.125,0
22.935,675.61,900,19.152,0
22.935,676.54,900,19.178,0
22.935,677.47,900,19.205,0
22.935,678.41,900,19.231,0
22.934,679.34,900,19.258,0
22.934,680.28,900,19.284,0
22.934,681.21,900,19.311,0
22.934,682.15,900,19.337,0
22.934,683.08,900,19.364,0
22.934,684.01,900,19.39,0
22.934,684.95,900,19.417,0
22.933,685.88,900,19.443,0
22.933,686.82,900,19.47,0
22.933,687.75,900,19.496,0
22.933,688.69,900,19.523,0
22.933,689.62,900,19.549,0
22.933,690.55,900,19.576,0
22.932,691.49,900,19.602,0
22.932,692.42,900,19.628,0
22.932,693.36,900,19.655,0
22.932,694.29,900,19.681,0
22.932,695.23,900,19.708,0
22.932,696.16,900,19.734,0
22.932,697.09,900,19.761,0
22.931,698.03,900,19.787,0
22.931,698.96,900,19.814,0
22.931,699.9,900,19.84,0
22.931,700.83,900,19.867,0
22.931,701.76,900,19.893,0
22.931,702.7,900,19.92,0
22.93,703.63,900,19.946,0
22.93,704.57,900,19.973,0
22.93,705.5,900,19.999,0
22.93,706.44,900,20.026,0
22.93,707.37,900,20.052,0
22.93,708.3,900,20.079,0
22.93,709.24,900,20.105,0
22.929,710.17,900,20.132,0
22.929,711.11,900,20.158,0
22.929,712.04,900,20.185,0
22.929,712.98,900,20.211,0
22.929,713.91,900,20.238,0
22.929,714.84,900,20.264,0
22.928,715.78,900,20.291,0
22.928,716.71,900,20.317,0
22.928,717.65,900,20.344,0
22.928,718.58,900,20.37,0
22.928,719.52,900,20.397,0
22.928,720.45,900,20.423,0
22.927,721.38,900,20.45,0
22.927,722.32,900,20.476,0
22.927,723.25,900,20.502,0
22.927,724.19,900,20.529,0
22.927,725.12,900,20.555,0
22.926,726.06,900,20.582,0
22.926,726.99,900,20.608,0
22.926,727.92,900,20.635,0
22.926,728.86,900,20.661,0
22.926,729.79,900,20.688,0
22.926,730.73,900,20.714,0
22.925,731.66,900,20.741,0
22.925,732.6,900,20.767,0
22.925,733.53,900,20.794,0
22.925,734.46,900,20.82,0
22.925,735.4,900,20.847,0
22.924,736.33,900,20.873,0
22.924,737.27,900,20.9,0
22.924,738.2,900,20.926,0
22.924,739.14,900,20.953,0
22.924,740.07,900,20.979,0
22.924,741,900,21.006,0
22.923,741.94,900,21.032,0
22.923,742.87,900,21.059,0
22.923,743.81,900,21.085,0
22.923,744.74,900,21.112,0
22.923,745.68,900,21.138,0
22.922,746.61,900,21.165,0
22.922,747.54,900,21.191,0
22.922,748.48,900,21.218,0
22.922,749.41,900,21.244,0
22.922,750.35,900,21.271,0
22.921,751.28,900,21.297,0
22.921,752.22,900,21.323,0
22.921,753.15,900,21.35,0
22.921,754.08,900,21.376,0
22.921,755.02,900,21.403,0
22.92,755.95,900,21.429,0
22.92,756.89,900,21.456,0
22.92,757.82,900,21.482,0
22.92,758.76,900,21.509,0
22.92,759.69,900,21.535,0
22.919,760.62,900,21.562,0
22.919,761.56,900,21.588,0
