"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0050723,-0.0015222,-2.3037e-05,0.002131,-1.2337e-05,0.00301,0.0051066,168.3,900,4.7708,0
0.0050595,-0.0015191,-2.3014e-05,0.0021274,-1.2191e-05,0.0030034,0.0050952,169.23,900,4.7973,0
0.0050468,-0.001516,-2.293e-05,0.0021238,-1.1959e-05,0.0029966,0.0050836,170.16,900,4.8237,0
0.005034,-0.0015129,-2.2846e-05,0.0021202,-1.1726e-05,0.0029899,0.005072,171.1,900,4.8502,0
0.0050213,-0.0015098,-2.2762e-05,0.0021165,-1.1494e-05,0.0029832,0.0050605,172.03,900,4.8767,0
0.0050088,-0.0015068,-2.2688e-05,0.0021129,-1.1227e-05,0.0029763,0.005049,172.97,900,4.9032,0
0.0049969,-0.0015037,-2.263e-05,0.0021091,-1.0904e-05,0.0029694,0.0050377,173.9,900,4.9297,0
0.0049849,-0.0015006,-2.2573e-05,0.0021054,-1.058e-05,0.0029625,0.0050264,174.84,900,4.9562,0
0.004973,-0.0014976,-2.2515e-05,0.0021016,-1.0256e-05,0.0029555,0.005015,175.77,900,4.9826,0
0.0049607,-0.0014945,-2.251e-05,0.0020978,-9.9066e-06,0.0029485,0.0050035,176.7,900,5.0091,0
0.0049481,-0.0014915,-2.2589e-05,0.0020939,-9.5143e-06,0.0029414,0.0049917,177.64,900,5.0356,0
0.0049355,-0.0014884,-2.2669e-05,0.00209,-9.1219e-06,0.0029343,0.0049799,178.57,900,5.0621,0
0.0049229,-0.0014853,-2.2748e-05,0.0020861,-8.7296e-06,0.0029272,0.0049681,179.51,900,5.0886,0
0.0049106,-0.0014823,-2.287e-05,0.0020821,-8.3177e-06,0.00292,0.0049563,180.44,900,5.1151,0
0.004899,-0.0014793,-2.3083e-05,0.0020781,-7.8626e-06,0.0029126,0.0049448,181.38,900,5.1415,0
0.0048874,-0.0014762,-2.3296e-05,0.002074,-7.4075e-06,0.0029053,0.0049333,182.31,900,5.168,0
0.0048757,-0.0014732,-2.3509e-05,0.0020699,-6.9524e-06,0.0028979,0.0049218,183.24,900,5.1945,0
0.0048641,-0.0014702,-2.3722e-05,0.0020658,-6.4877e-06,0.0028906,0.0049103,184.18,900,5.221,0
0.0048523,-0.0014672,-2.3932e-05,0.0020616,-5.9755e-06,0.0028832,0.0048985,185.11,900,5.2475,0
0.0048405,-0.0014642,-2.4142e-05,0.0020573,-5.4633e-06,0.0028758,0.0048868,186.05,900,5.274,0
0.0048286,-0.0014613,-2.4352e-05,0.0020531,-4.9511e-06,0.0028683,0.004875,186.98,900,5.3005,0
0.0048168,-0.0014583,-2.4562e-05,0.0020488,-4.4389e-06,0.0028609,0.0048633,187.92,900,5.3269,0
